epoch,train_loss,val_psnr,val_ssim,val_hdrvdp2,val_hdrvdp3
1,0.035307,2.8008,0.0096,0.0000,0.0000
2,0.018958,2.9388,0.0095,0.0000,0.0000
3,0.013603,3.2813,0.0100,0.0000,0.0000
4,0.011363,3.8636,0.0148,0.0000,0.0000
5,0.009096,5.9294,0.2957,0.0000,0.0000
6,0.007429,5.4179,0.2989,0.0000,0.0000
7,0.006472,5.4419,0.2913,0.0000,0.0000
8,0.005529,5.6413,0.2989,0.0000,0.0000
9,0.004786,5.9055,0.2998,0.0000,0.0000
10,0.004464,7.3569,0.3177,0.0000,0.0000
11,0.003779,6.9751,0.3090,0.0000,0.0000
12,0.003548,7.4416,0.3321,0.0000,0.0000
13,0.003205,6.5470,0.3168,0.0000,0.0000
14,0.002812,6.6655,0.3122,0.0000,0.0000
15,0.002564,6.3872,0.3145,0.0000,0.0000
16,0.002645,6.5503,0.3180,0.0000,0.0000
17,0.002423,7.3424,0.3401,0.0000,0.0000
18,0.002306,6.8616,0.3227,0.0000,0.0000
19,0.002325,6.5062,0.3135,0.0000,0.0000
20,0.001950,6.4449,0.3169,0.0000,0.0000
21,0.001844,6.6112,0.3209,0.0000,0.0000
22,0.001837,6.7981,0.3230,0.0000,0.0000
23,0.001604,6.2149,0.3132,0.0000,0.0000
24,0.001702,6.4188,0.3200,0.0000,0.0000
25,0.001696,7.1364,0.3317,0.0000,0.0000
26,0.001552,6.4674,0.3168,0.0000,0.0000
27,0.001464,6.2193,0.3167,0.0000,0.0000
28,0.001364,6.1202,0.3146,0.0000,0.0000
29,0.001375,6.5519,0.3237,0.0000,0.0000
30,0.001441,7.0283,0.3341,0.0000,0.0000
1,0.034851,2.8857,0.0141,93.6440,4.2742
2,0.028080,2.9520,0.0138,93.9126,4.3898
3,0.023629,3.1519,0.0152,93.9231,4.2967
4,0.014726,3.5276,0.0199,94.0757,4.2032
5,0.011556,4.4385,0.3012,93.6489,3.7099
6,0.009182,5.4822,0.3298,93.7732,4.0706
7,0.007591,4.7403,0.3052,93.6104,3.9642
8,0.006552,4.7991,0.3064,93.6177,4.0638
9,0.005646,4.8238,0.3054,93.5903,3.8937
10,0.004662,4.9621,0.3090,93.5608,3.8911
11,0.003893,4.7605,0.3059,93.5578,3.7614
12,0.003503,5.3183,0.3235,93.6754,3.9454
13,0.003105,5.0256,0.3095,93.7284,3.9257
14,0.002744,5.2851,0.3203,93.7214,3.9360
15,0.002713,4.8709,0.3079,93.6684,3.8943
16,0.002821,4.8028,0.3066,93.6800,3.8762
17,0.002764,4.9713,0.3094,93.5783,3.7561
18,0.002353,4.8309,0.3071,93.6711,3.8893
19,0.002165,4.7957,0.3071,93.6954,3.9311
20,0.002550,5.9106,0.4406,93.7010,4.0018
21,0.002081,5.1961,0.3155,93.6116,3.8276
22,0.001969,5.0322,0.3106,93.6639,3.8757
23,0.001849,5.0381,0.3109,93.5534,3.7291
24,0.001711,5.1427,0.3143,93.6963,3.9798
25,0.001597,4.9791,0.3095,93.8124,3.9913
26,0.001537,5.0459,0.3115,93.8021,4.0390
27,0.001470,5.3922,0.3298,93.7322,3.9788
28,0.001877,4.7816,0.3088,93.6743,3.9479
29,0.001796,4.7832,0.3082,93.5404,3.7054
30,0.001768,5.2557,0.3197,93.4804,3.6158
